传感器串号,时间是否重复,间隔时间,间隔类型,间隔单位,重复就省略,单位,变量类型,制造商,模块,房间编号,房间类型,楼层,面积,体积,家庭编号,时间,数据
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-02 07:30:00,17
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-02 07:00:00,16
sensor5,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-02 06:30:00,15
sensor5,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-02 06:00:00,15
sensor5,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-02 05:30:00,13
sensor5,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-02 05:00:00,13
sensor5,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-02 04:30:00,13
sensor5,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-02 04:00:00,13
sensor5,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-02 03:30:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-02 03:00:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-02 02:30:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-02 02:00:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-02 01:30:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-02 01:00:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-02 00:30:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-02 00:00:00,14
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-01 23:30:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-01 23:00:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-01 22:30:00,12
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-01 22:00:00,12
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-01 21:30:00,12
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-01 21:00:00,12
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-01 20:30:00,12
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-01 20:00:00,12
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-01 19:30:00,12
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-01 19:00:00,12
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-01 18:30:00,12
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-01 18:00:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-01 17:30:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-01 17:00:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-01 16:30:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-01 16:00:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-01 15:30:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-01 15:00:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-01 14:30:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-12-01 14:00:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 15:00:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 14:30:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 14:00:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 13:30:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 13:00:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 12:30:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 12:00:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 11:30:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 11:00:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 10:30:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 10:00:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 09:30:00,12
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 09:00:00,12
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 08:30:00,12
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 08:00:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 07:30:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 07:00:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 06:30:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 06:00:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 05:30:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 05:00:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 04:30:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 04:00:00,13
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 03:30:00,14
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 03:00:00,14
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 02:30:00,14
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 02:00:00,14
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 01:30:00,14
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 01:00:00,14
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 00:30:00,14
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-30 00:00:00,14
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-29 23:30:00,14
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-29 23:00:00,15
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-29 22:30:00,15
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-29 22:00:00,15
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-29 21:30:00,15
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-29 21:00:00,15
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-29 20:30:00,15
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-29 20:00:00,15
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-29 19:30:00,15
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-29 19:00:00,16
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-29 18:30:00,16
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-29 18:00:00,16
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-29 17:30:00,16
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-29 17:00:00,16
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 18:00:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 17:30:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 17:00:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 16:30:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 16:00:00,18
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 15:30:00,18
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 15:00:00,18
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 14:30:00,18
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 14:00:00,18
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 13:30:00,18
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 13:00:00,18
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 12:30:00,18
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 12:00:00,18
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 11:30:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 11:00:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 10:30:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 10:00:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 09:30:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 09:00:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 08:30:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 08:00:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 07:30:00,18
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 07:00:00,18
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 06:30:00,18
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 06:00:00,17
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 05:30:00,17
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 05:00:00,17
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 04:30:00,18
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 04:00:00,18
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 03:30:00,18
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 03:00:00,18
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 02:30:00,18
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 02:00:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 01:30:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 01:00:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 00:30:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-28 00:00:00,20
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-27 23:30:00,20
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-27 23:00:00,20
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-27 22:30:00,20
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-27 22:00:00,20
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-27 21:30:00,20
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-27 21:00:00,20
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-27 20:30:00,20
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-27 20:00:00,20
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-26 21:00:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-26 20:30:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-26 20:00:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-26 19:30:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-26 19:00:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-26 18:30:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-26 18:00:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-26 17:30:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-26 17:00:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-26 16:30:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-26 16:00:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-26 15:30:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-26 15:00:00,19
sensor1,FALSE,30,FixedInterval,Minute,FALSE,C,Air temperature,Onset,Hobo U12,Space13,Bathroom,1,4.75,10.925,Building01,2013-11-26 14:30:00,19
