Sensor_PK,ClimateFK,endDateTime,id,startDateTime,MeterFK,manufacturer,model,SpaceFK,PlugFK,RadiatorFK,BuildingFK
19,,2015-03-02T09:45:00Z,Sensor31,2014-06-18T11:00:00Z,,Onset,Hobo pendant,1.0,,,
20,,2015-04-07T13:15:00Z,Sensor32,2015-03-02T10:00:00Z,,Onset,Hobo pendant,1.0,,,
21,,2015-04-28T13:13:00Z,Sensor1294,2014-07-23T15:09:00Z,,RWE,Interior motion detector,1.0,,,
22,,2013-12-03T15:15:00Z,Sensor21,2013-10-02T05:00:00Z,,Onset,Hobo pendant,3.0,,,
23,,2014-06-18T10:45:00Z,Sensor22,2013-12-03T18:00:00Z,,Onset,Hobo pendant,3.0,,,
24,,2015-02-27T14:45:00Z,Sensor23,2014-06-18T11:00:00Z,,Onset,Hobo pendant,3.0,,,
25,,2015-08-14T09:15:00Z,Sensor24,2015-02-27T15:00:00Z,,Onset,Hobo pendant,3.0,,,
26,,2013-12-03T15:30:00Z,Sensor33,2013-10-02T05:00:00Z,,Onset,Hobo U12,5.0,,,
27,,2014-06-18T09:30:00Z,Sensor34,2013-12-03T18:00:00Z,,Onset,Hobo U12,5.0,,,
28,,2015-03-02T09:30:00Z,Sensor35,2014-06-18T10:00:00Z,,Onset,Hobo U12,5.0,,,
29,,2015-08-14T09:15:00Z,Sensor36,2015-03-02T10:00:00Z,,Onset,Hobo U12,5.0,,,
30,,2015-04-28T12:38:00Z,Sensor1291,2014-07-23T14:37:00Z,,RWE,Interior motion detector,5.0,,,
31,,2015-04-28T13:06:00Z,Sensor1278,2014-07-22T15:28:00Z,,RWE,Exterior motion detector,6.0,,,
32,,2013-12-03T15:15:00Z,Sensor25,2013-10-02T05:00:00Z,,Onset,Hobo pendant,7.0,,,
33,,2014-06-18T10:45:00Z,Sensor26,2013-12-03T18:00:00Z,,Onset,Hobo pendant,7.0,,,
34,,2015-02-27T14:45:00Z,Sensor27,2014-06-18T11:00:00Z,,Onset,Hobo pendant,7.0,,,
35,,2015-08-14T09:15:00Z,Sensor28,2015-02-27T15:00:00Z,,Onset,Hobo pendant,7.0,,,
36,,2015-04-28T12:57:00Z,Sensor1292,2014-07-23T14:52:00Z,,RWE,Interior motion detector,7.0,,,
37,,2013-12-03T15:30:00Z,Sensor37,2013-10-02T05:00:00Z,,Onset,Hobo U12,8.0,,,
38,,2014-06-18T09:30:00Z,Sensor38,2013-12-03T18:00:00Z,,Onset,Hobo U12,8.0,,,
39,,2015-03-02T09:30:00Z,Sensor39,2014-06-18T10:00:00Z,,Onset,Hobo U12,8.0,,,
40,,2015-08-14T09:15:00Z,Sensor40,2015-03-02T10:00:00Z,,Onset,Hobo U12,8.0,,,
41,,2014-12-29T20:26:00Z,Sensor1293,2014-07-23T14:37:00Z,,RWE,Interior motion detector,8.0,,,
42,,2013-12-03T15:15:00Z,Sensor17,2013-10-02T05:00:00Z,,Onset,Hobo pendant,9.0,,,
43,,2014-06-18T10:45:00Z,Sensor18,2013-12-03T18:00:00Z,,Onset,Hobo pendant,9.0,,,
44,,2015-02-27T14:45:00Z,Sensor19,2014-06-18T11:00:00Z,,Onset,Hobo pendant,9.0,,,
45,,2015-08-14T09:15:00Z,Sensor20,2015-02-27T15:00:00Z,,Onset,Hobo pendant,9.0,,,
46,,2013-12-03T15:30:00Z,Sensor1,2013-10-02T05:00:00Z,,Onset,Hobo U12,12.0,,,
47,,2014-06-18T09:30:00Z,Sensor2,2013-12-03T18:00:00Z,,Onset,Hobo U12,12.0,,,
48,,2015-03-02T09:30:00Z,Sensor3,2014-06-18T10:00:00Z,,Onset,Hobo U12,12.0,,,
49,,2015-08-14T09:15:00Z,Sensor4,2015-03-02T10:00:00Z,,Onset,Hobo U12,12.0,,,
50,,2013-12-03T15:15:00Z,Sensor13,2013-10-02T05:00:00Z,,Onset,Hobo pendant,13.0,,,
51,,2014-06-18T10:45:00Z,Sensor14,2013-12-03T18:00:00Z,,Onset,Hobo pendant,13.0,,,
52,,2015-02-27T14:45:00Z,Sensor15,2014-06-18T11:00:00Z,,Onset,Hobo pendant,13.0,,,
53,,2015-08-14T09:15:00Z,Sensor16,2015-02-27T15:00:00Z,,Onset,Hobo pendant,13.0,,,
54,,2013-12-03T15:09:00Z,Sensor5,2013-10-02T05:00:00Z,,Onset,Hobo U12,14.0,,,
55,,2014-06-18T09:30:00Z,Sensor6,2013-12-03T18:00:00Z,,Onset,Hobo U12,14.0,,,
56,,2015-03-02T09:30:00Z,Sensor7,2014-06-18T10:00:00Z,,Onset,Hobo U12,14.0,,,
57,,2015-08-14T09:00:00Z,Sensor8,2015-03-02T10:00:00Z,,Onset,Hobo U12,14.0,,,
58,,2013-12-03T15:15:00Z,Sensor9,2013-10-02T05:00:00Z,,Onset,Hobo pendant,16.0,,,
59,,2014-06-18T10:45:00Z,Sensor10,2013-12-03T18:00:00Z,,Onset,Hobo pendant,16.0,,,
60,,2015-03-02T09:45:00Z,Sensor11,2014-06-18T11:00:00Z,,Onset,Hobo pendant,16.0,,,
61,,2015-08-14T09:15:00Z,Sensor12,2015-03-02T10:00:00Z,,Onset,Hobo U12,16.0,,,
62,,,Sensor1451,,,CurrentCost,Individual appliance monitor (IAM),,0.0,,
63,,,Sensor1459,,,CurrentCost,Individual appliance monitor (IAM),,2.0,,
64,,,Sensor1452,,,CurrentCost,Individual appliance monitor (IAM),,3.0,,
65,,,Sensor1453,,,CurrentCost,Individual appliance monitor (IAM),,4.0,,
66,,,Sensor1454,,,CurrentCost,Individual appliance monitor (IAM),,9.0,,
67,,,Sensor1455,,,CurrentCost,Individual appliance monitor (IAM),,10.0,,
68,,,Sensor1456,,,CurrentCost,Individual appliance monitor (IAM),,11.0,,
69,,,Sensor1457,,,CurrentCost,Individual appliance monitor (IAM),,13.0,,
70,,,Sensor1458,,,CurrentCost,Individual appliance monitor (IAM),,19.0,,
71,,2014-03-03T13:00:00Z,Sensor449,2013-10-02T06:00:00Z,,Maxim,iButton,,,1.0,
72,,2014-08-21T07:00:01Z,Sensor450,2014-03-03T14:30:01Z,,Maxim,iButton,,,1.0,
73,,2015-03-03T11:00:01Z,Sensor451,2014-09-16T11:00:01Z,,Maxim,iButton,,,1.0,
74,,2015-08-14T14:00:01Z,Sensor452,2015-03-03T11:00:01Z,,Maxim,iButton,,,1.0,
75,,2014-03-03T13:00:00Z,Sensor453,2013-10-02T06:00:00Z,,Maxim,iButton,,,2.0,
76,,2014-08-21T07:00:01Z,Sensor454,2014-03-03T14:30:01Z,,Maxim,iButton,,,2.0,
77,,2015-03-03T11:00:01Z,Sensor455,2014-09-16T11:00:01Z,,Maxim,iButton,,,2.0,
78,,2015-08-14T14:00:01Z,Sensor456,2015-03-03T11:00:01Z,,Maxim,iButton,,,2.0,
79,,2014-08-21T07:00:01Z,Sensor442,2014-03-03T14:30:01Z,,Maxim,iButton,,,3.0,
80,,2015-03-03T11:00:01Z,Sensor443,2014-09-16T11:00:01Z,,Maxim,iButton,,,3.0,
81,,2015-08-14T14:00:01Z,Sensor444,2015-03-03T11:00:01Z,,Maxim,iButton,,,3.0,
82,,2014-03-03T13:00:00Z,Sensor445,2013-10-02T06:00:00Z,,Maxim,iButton,,,4.0,
83,,2014-08-21T07:00:01Z,Sensor446,2014-03-03T14:30:01Z,,Maxim,iButton,,,4.0,
84,,2015-03-03T11:00:01Z,Sensor447,2014-09-16T11:00:01Z,,Maxim,iButton,,,4.0,
85,,2015-08-14T14:00:01Z,Sensor448,2015-03-03T11:00:01Z,,Maxim,iButton,,,4.0,
86,,2014-03-03T13:00:00Z,Sensor426,2013-10-02T06:00:00Z,,Maxim,iButton,,,5.0,
87,,2014-08-21T07:00:01Z,Sensor427,2014-03-03T14:30:01Z,,Maxim,iButton,,,5.0,
88,,2015-03-03T11:00:01Z,Sensor428,2014-09-16T11:00:01Z,,Maxim,iButton,,,5.0,
89,,2015-08-14T14:00:01Z,Sensor429,2015-03-03T11:00:01Z,,Maxim,iButton,,,5.0,
90,,2014-03-03T13:00:00Z,Sensor438,2013-10-02T06:00:00Z,,Maxim,iButton,,,6.0,
91,,2014-08-21T07:00:01Z,Sensor439,2014-03-03T14:30:01Z,,Maxim,iButton,,,6.0,
92,,2015-03-03T11:00:01Z,Sensor440,2014-09-16T11:00:01Z,,Maxim,iButton,,,6.0,
93,,2015-08-14T14:00:01Z,Sensor441,2015-03-03T11:00:01Z,,Maxim,iButton,,,6.0,
94,,2014-03-03T13:00:00Z,Sensor430,2013-10-02T06:00:00Z,,Maxim,iButton,,,7.0,
95,,2014-08-21T07:00:01Z,Sensor431,2014-03-03T14:30:01Z,,Maxim,iButton,,,7.0,
96,,2015-03-03T11:00:01Z,Sensor432,2014-09-16T11:00:01Z,,Maxim,iButton,,,7.0,
97,,2015-08-14T14:00:01Z,Sensor433,2015-03-03T11:00:01Z,,Maxim,iButton,,,7.0,
98,,2014-03-03T13:00:00Z,Sensor434,2013-10-02T06:00:00Z,,Maxim,iButton,,,8.0,
99,,2014-08-21T07:00:01Z,Sensor435,2014-03-03T14:30:01Z,,Maxim,iButton,,,8.0,
100,,2015-03-03T11:00:01Z,Sensor436,2014-09-16T11:00:01Z,,Maxim,iButton,,,8.0,
101,,2015-08-14T14:00:01Z,Sensor437,2015-03-03T11:00:01Z,,Maxim,iButton,,,8.0,
102,,2014-09-16T13:36:00Z,Sensor1373,2014-07-23T16:39:00Z,,RWE,Contact sensor,,,,0.0
103,,2015-04-28T11:44:00Z,Sensor1374,2014-07-23T18:33:00Z,,RWE,Contact sensor,,,,0.0
104,,2014-07-27T17:51:00Z,Sensor1375,2014-07-25T10:17:00Z,,RWE,Contact sensor,,,,0.0
105,,2014-08-20T09:47:00Z,Sensor1376,2014-08-20T09:41:00Z,,RWE,Contact sensor,,,,0.0
106,,2015-04-28T10:00:00Z,Sensor1377,2014-07-23T16:39:00Z,,RWE,Contact sensor,,,,0.0
107,,2015-01-12T11:44:00Z,Sensor1429,2014-07-22T16:07:00Z,,RWE,Alarm,,,,0.0
108,,2015-01-12T11:44:00Z,Sensor1440,2014-09-24T07:25:00Z,,RWE,Smoke detector,,,,0.0
109,,2015-05-06T23:30:00Z,Sensor1229,2013-09-14T00:00:00Z,2.0,Smart Metering Solutions,Replacement gas meter,,,,
110,,2015-05-28T08:30:00Z,Sensor1259,2013-09-17T22:30:00Z,3.0,CurrentCost,Mains clamp,,,,
111,,2013-11-22T10:01:48Z,Sensor225,2013-09-18T05:00:00Z,,Onset,Hobo U12,20.0,,,
112,,2014-06-18T13:30:00Z,Sensor226,2013-11-23T06:00:00Z,,Onset,Hobo U12,20.0,,,
113,,2015-07-10T07:30:00Z,Sensor227,2015-01-26T11:00:00Z,,Onset,Hobo U12,20.0,,,
114,,2015-04-28T13:10:00Z,Sensor1296,2014-12-21T09:18:00Z,,RWE,Interior motion detector,20.0,,,
115,,2013-11-22T15:00:00Z,Sensor220,2013-09-18T05:00:00Z,,Onset,Hobo U12,21.0,,,
116,,2014-06-18T13:30:00Z,Sensor221,2013-11-23T06:00:00Z,,Onset,Hobo U12,21.0,,,
117,,2015-07-10T07:30:00Z,Sensor222,2015-01-26T11:00:00Z,,Onset,Hobo U12,21.0,,,
118,,2015-02-07T07:44:00Z,Sensor1299,2014-07-23T15:39:00Z,,RWE,Interior motion detector,21.0,,,
119,,2015-04-28T13:18:00Z,Sensor1279,2014-07-23T14:50:00Z,,RWE,Exterior motion detector,22.0,,,
120,,2015-04-28T13:17:00Z,Sensor1298,2014-07-23T14:54:00Z,,RWE,Interior motion detector,24.0,,,
121,,2013-11-22T10:01:48Z,Sensor211,2013-09-18T05:00:00Z,,Onset,Hobo U12,25.0,,,
122,,2014-06-18T14:00:00Z,Sensor212,2013-11-23T06:00:00Z,,Onset,Hobo pendant,25.0,,,
123,,2015-07-10T07:30:00Z,Sensor213,2015-01-26T11:00:00Z,,Onset,Hobo U12,25.0,,,
124,,2013-11-22T15:15:00Z,Sensor214,2013-09-18T05:00:00Z,,Onset,Hobo pendant,26.0,,,
125,,2014-06-18T13:45:00Z,Sensor215,2013-11-23T06:00:00Z,,Onset,Hobo pendant,26.0,,,
126,,2015-07-10T07:45:00Z,Sensor216,2015-01-26T11:00:00Z,,Onset,Hobo pendant,26.0,,,
127,,2013-11-22T15:00:00Z,Sensor208,2013-09-18T05:00:00Z,,Onset,Hobo U12,27.0,,,
128,,2014-06-18T13:30:00Z,Sensor209,2013-11-23T06:00:00Z,,Onset,Hobo U12,27.0,,,
129,,2015-07-10T07:30:00Z,Sensor210,2015-01-26T11:00:00Z,,Onset,Hobo U12,27.0,,,
130,,2014-06-16T09:45:00Z,Sensor223,2013-09-18T05:00:00Z,,Onset,Hobo pendant,28.0,,,
131,,2015-07-10T07:45:00Z,Sensor224,2014-06-16T10:00:00Z,,Onset,Hobo pendant,28.0,,,
132,,2015-04-28T13:22:00Z,Sensor1297,2014-07-23T14:47:00Z,,RWE,Interior motion detector,28.0,,,
133,,2013-11-22T15:15:00Z,Sensor217,2013-09-18T05:00:00Z,,Onset,Hobo pendant,30.0,,,
134,,2014-06-18T13:45:00Z,Sensor218,2013-11-23T06:00:00Z,,Onset,Hobo pendant,30.0,,,
135,,2015-07-10T07:45:00Z,Sensor219,2015-01-26T11:00:00Z,,Onset,Hobo pendant,30.0,,,
136,,2014-10-29T20:21:00Z,Sensor1295,2014-07-23T14:43:00Z,,RWE,Interior motion detector,34.0,,,
137,,,Sensor1460,,,CurrentCost,Individual appliance monitor (IAM),,32.0,,
138,,,Sensor1461,,,CurrentCost,Individual appliance monitor (IAM),,33.0,,
139,,,Sensor1462,,,CurrentCost,Individual appliance monitor (IAM),,35.0,,
140,,,Sensor1463,,,CurrentCost,Individual appliance monitor (IAM),,36.0,,
141,,,Sensor1464,,,CurrentCost,Individual appliance monitor (IAM),,37.0,,
142,,,Sensor1465,,,CurrentCost,Individual appliance monitor (IAM),,38.0,,
143,,,Sensor1466,,,CurrentCost,Individual appliance monitor (IAM),,39.0,,
144,,,Sensor1467,,,CurrentCost,Individual appliance monitor (IAM),,40.0,,
145,,,Sensor1468,,,CurrentCost,Individual appliance monitor (IAM),,41.0,,
146,,2014-02-13T14:30:00Z,Sensor820,2013-09-18T06:00:00Z,,Maxim,iButton,,,9.0,
147,,2014-08-03T08:00:01Z,Sensor821,2014-02-13T15:30:01Z,,Maxim,iButton,,,9.0,
148,,2015-01-26T17:00:01Z,Sensor822,2014-08-18T16:00:01Z,,Maxim,iButton,,,9.0,
149,,2015-07-13T16:00:01Z,Sensor823,2015-01-26T17:00:01Z,,Maxim,iButton,,,9.0,
150,,2014-02-13T14:30:00Z,Sensor816,2013-09-18T06:00:00Z,,Maxim,iButton,,,10.0,
151,,2014-08-03T08:00:01Z,Sensor817,2014-02-13T15:30:01Z,,Maxim,iButton,,,10.0,
152,,2015-01-26T17:00:01Z,Sensor818,2014-08-18T16:00:01Z,,Maxim,iButton,,,10.0,
153,,2015-07-13T16:30:01Z,Sensor819,2015-01-26T17:00:01Z,,Maxim,iButton,,,10.0,
154,,2014-02-13T14:30:00Z,Sensor812,2013-09-18T06:00:00Z,,Maxim,iButton,,,11.0,
155,,2014-08-03T08:00:01Z,Sensor813,2014-02-13T15:30:01Z,,Maxim,iButton,,,11.0,
156,,2015-01-26T17:00:01Z,Sensor814,2014-08-18T16:00:01Z,,Maxim,iButton,,,11.0,
157,,2015-07-13T16:30:01Z,Sensor815,2015-01-26T17:00:01Z,,Maxim,iButton,,,11.0,
158,,2014-02-13T14:30:00Z,Sensor801,2013-09-18T06:00:00Z,,Maxim,iButton,,,12.0,
159,,2014-08-03T08:00:01Z,Sensor802,2014-02-13T15:30:01Z,,Maxim,iButton,,,12.0,
160,,2015-02-05T06:30:01Z,Sensor803,2014-08-18T16:00:01Z,,Maxim,iButton,,,12.0,
161,,2014-02-13T14:30:00Z,Sensor804,2013-09-18T06:00:00Z,,Maxim,iButton,,,13.0,
162,,2014-08-03T08:00:01Z,Sensor805,2014-02-13T15:30:01Z,,Maxim,iButton,,,13.0,
163,,2015-01-26T17:00:01Z,Sensor806,2014-08-18T16:00:01Z,,Maxim,iButton,,,13.0,
164,,2015-07-13T16:30:01Z,Sensor807,2015-01-26T17:00:01Z,,Maxim,iButton,,,13.0,
165,,2014-02-13T14:30:00Z,Sensor797,2013-09-18T06:00:00Z,,Maxim,iButton,,,14.0,
166,,2014-08-03T08:00:01Z,Sensor798,2014-02-13T15:30:01Z,,Maxim,iButton,,,14.0,
167,,2015-01-26T17:00:01Z,Sensor799,2014-08-18T16:00:01Z,,Maxim,iButton,,,14.0,
168,,2015-07-13T16:30:01Z,Sensor800,2015-01-26T17:00:01Z,,Maxim,iButton,,,14.0,
169,,2014-02-13T14:30:00Z,Sensor808,2013-09-18T06:00:00Z,,Maxim,iButton,,,15.0,
170,,2014-08-03T08:00:01Z,Sensor809,2014-02-13T15:30:01Z,,Maxim,iButton,,,15.0,
171,,2015-01-26T17:00:01Z,Sensor810,2014-08-18T16:00:01Z,,Maxim,iButton,,,15.0,
172,,2015-07-13T16:30:01Z,Sensor811,2015-01-26T17:00:01Z,,Maxim,iButton,,,15.0,
173,,2015-04-28T09:42:00Z,Sensor1378,2014-07-23T16:41:00Z,,RWE,Contact sensor,,,,1.0
174,,2015-04-28T09:30:00Z,Sensor1379,2014-10-16T19:07:00Z,,RWE,Contact sensor,,,,1.0
175,,2014-12-26T11:17:00Z,Sensor1430,2014-07-06T00:19:36Z,,RWE,Alarm,,,,1.0
176,,2014-11-25T02:13:00Z,Sensor1441,2014-07-06T00:19:36Z,,RWE,Smoke detector,,,,1.0
177,,2015-05-15T23:30:00Z,Sensor1230,2014-04-04T00:00:00Z,4.0,Enica,Pulse logger,,,,
178,,2015-06-02T11:00:00Z,Sensor1260,2013-09-25T19:30:00Z,5.0,CurrentCost,Mains clamp,,,,
179,,2013-12-03T15:00:00Z,Sensor264,2013-09-19T05:00:00Z,,Onset,Hobo U12,37.0,,,
180,,2014-09-18T11:30:00Z,Sensor265,2013-12-03T18:00:00Z,,Onset,Hobo U12,37.0,,,
181,,2015-07-10T08:00:00Z,Sensor266,2014-09-18T12:00:00Z,,Onset,Hobo U12,37.0,,,
182,,2013-12-03T15:30:00Z,Sensor261,2013-09-19T05:00:00Z,,Onset,Hobo U12,39.0,,,
183,,2014-09-18T11:45:00Z,Sensor262,2013-12-03T18:00:00Z,,Onset,Hobo pendant,39.0,,,
184,,2015-07-10T08:00:00Z,Sensor263,2014-09-18T12:00:00Z,,Onset,Hobo U12,39.0,,,
185,,2013-12-03T15:00:00Z,Sensor277,2013-09-19T05:00:00Z,,Onset,Hobo U12,40.0,,,
186,,2014-09-18T11:30:00Z,Sensor278,2013-12-03T18:00:00Z,,Onset,Hobo U12,40.0,,,
187,,2015-07-10T08:00:00Z,Sensor279,2014-09-18T12:00:00Z,,Onset,Hobo U12,40.0,,,
188,,2015-04-28T13:22:00Z,Sensor1302,2014-08-13T16:25:00Z,,RWE,Interior motion detector,40.0,,,
189,,2013-12-03T15:00:00Z,Sensor280,2013-09-19T05:00:00Z,,Onset,Hobo U12,41.0,,,
190,,2014-09-18T11:30:00Z,Sensor281,2013-12-03T18:00:00Z,,Onset,Hobo U12,41.0,,,
191,,2015-07-10T08:00:00Z,Sensor282,2014-09-18T12:00:00Z,,Onset,Hobo U12,41.0,,,
192,,2015-04-28T13:15:00Z,Sensor1303,2014-08-13T16:31:00Z,,RWE,Interior motion detector,41.0,,,
193,,2013-11-23T08:15:00Z,Sensor271,2013-09-19T05:00:00Z,,Onset,Hobo pendant,43.0,,,
194,,2014-09-18T11:45:00Z,Sensor272,2013-12-03T18:00:00Z,,Onset,Hobo pendant,43.0,,,
195,,2015-07-10T08:15:00Z,Sensor273,2014-09-18T12:00:00Z,,Onset,Hobo pendant,43.0,,,
196,,2015-04-28T13:25:00Z,Sensor1301,2014-08-13T16:22:00Z,,RWE,Interior motion detector,43.0,,,
197,,2013-12-03T15:15:00Z,Sensor274,2013-09-19T05:00:00Z,,Onset,Hobo pendant,44.0,,,
198,,2014-09-18T11:45:00Z,Sensor275,2013-12-03T18:00:00Z,,Onset,Hobo pendant,44.0,,,
199,,2015-07-10T08:15:00Z,Sensor276,2014-09-18T12:00:00Z,,Onset,Hobo pendant,44.0,,,
200,,2015-04-28T13:24:00Z,Sensor1300,2014-08-13T16:35:00Z,,RWE,Interior motion detector,44.0,,,
201,,2013-12-03T15:15:00Z,Sensor267,2013-09-19T05:00:00Z,,Onset,Hobo pendant,45.0,,,
202,,2013-12-03T15:15:00Z,Sensor268,2013-09-19T05:00:00Z,,Onset,Hobo pendant,48.0,,,
203,,2014-09-18T11:45:00Z,Sensor269,2013-12-03T18:00:00Z,,Onset,Hobo pendant,48.0,,,
204,,2015-07-10T08:15:00Z,Sensor270,2014-09-18T12:00:00Z,,Onset,Hobo pendant,48.0,,,
205,,2013-12-03T15:15:00Z,Sensor283,2013-09-19T05:00:00Z,,Onset,Hobo pendant,49.0,,,
206,,2014-09-18T11:45:00Z,Sensor284,2013-12-03T18:00:00Z,,Onset,Hobo pendant,49.0,,,
207,,2015-07-10T08:00:00Z,Sensor285,2014-09-18T12:00:00Z,,Onset,Hobo pendant,49.0,,,
208,,,Sensor1469,,,CurrentCost,Individual appliance monitor (IAM),,47.0,,
209,,,Sensor1470,,,CurrentCost,Individual appliance monitor (IAM),,53.0,,
210,,,Sensor1471,,,CurrentCost,Individual appliance monitor (IAM),,54.0,,
211,,,Sensor1472,,,CurrentCost,Individual appliance monitor (IAM),,55.0,,
212,,,Sensor1473,,,CurrentCost,Individual appliance monitor (IAM),,56.0,,
213,,,Sensor1474,,,CurrentCost,Individual appliance monitor (IAM),,57.0,,
214,,,Sensor1475,,,CurrentCost,Individual appliance monitor (IAM),,59.0,,
215,,,Sensor1476,,,CurrentCost,Individual appliance monitor (IAM),,60.0,,
216,,2014-03-07T02:29:01Z,Sensor887,2013-09-17T11:59:01Z,,Maxim,iButton,,,16.0,
217,,2014-09-18T12:00:01Z,Sensor888,2014-04-03T11:00:01Z,,Maxim,iButton,,,16.0,
218,,2015-02-02T15:00:01Z,Sensor889,2014-09-18T12:00:01Z,,Maxim,iButton,,,16.0,
219,,2015-07-23T07:30:01Z,Sensor890,2015-02-02T15:00:01Z,,Maxim,iButton,,,16.0,
220,,2014-03-07T20:30:01Z,Sensor902,2013-09-18T06:00:01Z,,Maxim,iButton,,,17.0,
221,,2014-09-18T12:00:01Z,Sensor903,2014-04-03T11:00:01Z,,Maxim,iButton,,,17.0,
222,,2015-02-02T15:00:01Z,Sensor904,2014-09-18T12:00:01Z,,Maxim,iButton,,,17.0,
223,,2015-07-23T07:30:01Z,Sensor905,2015-02-02T15:00:01Z,,Maxim,iButton,,,17.0,
224,,2014-03-08T20:30:01Z,Sensor880,2013-09-19T06:00:01Z,,Maxim,iButton,,,18.0,
225,,2015-02-02T15:00:01Z,Sensor881,2014-09-18T12:00:01Z,,Maxim,iButton,,,18.0,
226,,2015-07-23T07:30:01Z,Sensor882,2015-02-02T15:00:01Z,,Maxim,iButton,,,18.0,
227,,2014-03-08T20:30:01Z,Sensor913,2013-09-19T06:00:01Z,,Maxim,iButton,,,19.0,
228,,2014-09-18T12:00:01Z,Sensor914,2014-04-03T11:00:01Z,,Maxim,iButton,,,19.0,
229,,2015-02-02T15:00:01Z,Sensor915,2014-09-18T12:00:01Z,,Maxim,iButton,,,19.0,
230,,2015-07-23T07:30:01Z,Sensor916,2015-02-02T15:00:01Z,,Maxim,iButton,,,19.0,
231,,2014-03-08T20:30:01Z,Sensor898,2013-09-19T06:00:01Z,,Maxim,iButton,,,20.0,
232,,2014-09-18T12:00:01Z,Sensor899,2014-04-03T11:00:01Z,,Maxim,iButton,,,20.0,
233,,2015-02-02T15:00:01Z,Sensor900,2014-09-18T12:00:01Z,,Maxim,iButton,,,20.0,
234,,2015-07-23T07:30:01Z,Sensor901,2015-02-02T15:00:01Z,,Maxim,iButton,,,20.0,
235,,2014-03-07T20:30:01Z,Sensor906,2013-09-18T06:00:01Z,,Maxim,iButton,,,21.0,
236,,2014-09-18T12:00:01Z,Sensor907,2014-04-03T11:00:01Z,,Maxim,iButton,,,21.0,
237,,2015-02-02T15:00:01Z,Sensor908,2014-09-18T12:00:01Z,,Maxim,iButton,,,21.0,
238,,2015-07-23T07:30:01Z,Sensor909,2015-02-02T15:00:01Z,,Maxim,iButton,,,21.0,
239,,2014-03-08T20:30:01Z,Sensor891,2013-09-19T06:00:01Z,,Maxim,iButton,,,22.0,
240,,2014-09-18T12:00:01Z,Sensor892,2014-04-03T11:00:01Z,,Maxim,iButton,,,22.0,
241,,2015-02-02T15:00:01Z,Sensor893,2014-09-18T12:00:01Z,,Maxim,iButton,,,22.0,
242,,2015-07-23T07:30:01Z,Sensor894,2015-02-02T15:00:01Z,,Maxim,iButton,,,22.0,
243,,2014-03-08T20:30:01Z,Sensor883,2013-09-19T06:00:01Z,,Maxim,iButton,,,23.0,
244,,2014-09-18T12:00:01Z,Sensor884,2014-04-03T11:00:01Z,,Maxim,iButton,,,23.0,
245,,2015-02-02T15:00:01Z,Sensor885,2014-09-18T12:00:01Z,,Maxim,iButton,,,23.0,
246,,2015-07-23T07:30:01Z,Sensor886,2015-02-02T15:00:01Z,,Maxim,iButton,,,23.0,
247,,2014-03-07T20:30:01Z,Sensor895,2013-09-18T06:00:01Z,,Maxim,iButton,,,24.0,
248,,2014-09-21T02:30:01Z,Sensor896,2014-04-03T11:00:01Z,,Maxim,iButton,,,24.0,
